Date,U.S. No 2 Diesel Retail Prices (Dollars per Gallon),U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)"
Apr-1994,1.107,1.027,16.42
May-1994,1.1,1.047,17.89
Jun-1994,1.103,1.078,19.06
Jul-1994,1.11,1.106,19.66
Aug-1994,1.123,1.155,18.38
Sep-1994,1.125,1.144,17.45
Oct-1994,1.122,1.114,17.72
Nov-1994,1.131,1.119,18.07
Dec-1994,1.113,1.129,17.16
Jan-1995,1.098,1.13,18.04
Feb-1995,1.088,1.12,18.57
Mar-1995,1.088,1.119,18.54
Apr-1995,1.104,1.157,19.9
May-1995,1.126,1.225,19.74
Jun-1995,1.12,1.239,18.45
Jul-1995,1.1,1.201,17.33
Aug-1995,1.105,1.17,18.02
Sep-1995,1.119,1.158,18.23
Oct-1995,1.115,1.134,17.43
Nov-1995,1.12,1.109,17.99
Dec-1995,1.13,1.118,19.03
Jan-1996,1.145,1.137,18.86
Feb-1996,1.145,1.136,19.09
Mar-1996,1.183,1.183,21.33
Apr-1996,1.275,1.275,23.5
May-1996,1.273,1.324,21.17
Jun-1996,1.201,1.3,20.42
Jul-1996,1.176,1.272,21.3
Aug-1996,1.201,1.251,21.9
Sep-1996,1.265,1.247,23.97
Oct-1996,1.323,1.249,24.88
Nov-1996,1.323,1.278,23.71
Dec-1996,1.309,1.282,25.23
Jan-1997,1.291,1.283,25.13
Feb-1997,1.28,1.276,22.18
Mar-1997,1.229,1.251,20.97
Apr-1997,1.212,1.244,19.7
May-1997,1.196,1.245,20.82
Jun-1997,1.173,1.242,19.26
Jul-1997,1.151,1.22,19.66
Aug-1997,1.165,1.268,19.95
Sep-1997,1.16,1.276,19.8
Oct-1997,1.183,1.242,21.33
Nov-1997,1.192,1.216,20.19
Dec-1997,1.166,1.177,18.33
Jan-1998,1.12,1.132,16.72
Feb-1998,1.084,1.096,16.06
Mar-1998,1.063,1.064,15.12
Apr-1998,1.067,1.077,15.35
May-1998,1.069,1.105,14.91
Jun-1998,1.041,1.103,13.72
Jul-1998,1.029,1.094,14.17
Aug-1998,1.007,1.065,13.47
Sep-1998,1.024,1.049,15.03
Oct-1998,1.039,1.059,14.46
Nov-1998,1.022,1.036,13
Dec-1998,0.973,0.987,11.35
Jan-1999,0.967,0.98,12.52
Feb-1999,0.959,0.962,12.01
Mar-1999,0.997,1.022,14.68
Apr-1999,1.079,1.171,17.31
May-1999,1.073,1.171,17.72
Jun-1999,1.074,1.154,17.92
Jul-1999,1.122,1.197,20.1
Aug-1999,1.172,1.26,21.28
Sep-1999,1.215,1.295,23.8
Oct-1999,1.228,1.285,22.69
Nov-1999,1.263,1.292,25
Dec-1999,1.292,1.313,26.1
Jan-2000,1.356,1.329,27.26
Feb-2000,1.461,1.415,29.37
Mar-2000,1.479,1.556,29.84
Apr-2000,1.422,1.506,25.72
May-2000,1.42,1.526,28.79
Jun-2000,1.421,1.666,31.82
Jul-2000,1.434,1.591,29.7
Aug-2000,1.466,1.506,31.26
Sep-2000,1.637,1.588,33.88
Oct-2000,1.637,1.571,33.11
Nov-2000,1.621,1.557,34.42
Dec-2000,1.565,1.483,28.44
Jan-2001,1.524,1.487,29.59
Feb-2001,1.492,1.49,29.61
Mar-2001,1.399,1.45,27.25
Apr-2001,1.422,1.591,27.49
May-2001,1.496,1.738,28.63
Jun-2001,1.482,1.658,27.6
Jul-2001,1.375,1.466,26.43
Aug-2001,1.39,1.461,27.37
Sep-2001,1.495,1.557,26.2
Oct-2001,1.348,1.357,22.17
Nov-2001,1.259,1.212,19.64
Dec-2001,1.167,1.127,19.39
Jan-2002,1.153,1.148,19.72
Feb-2002,1.152,1.155,20.72
Mar-2002,1.23,1.289,24.53
Apr-2002,1.309,1.439,26.18
May-2002,1.305,1.434,27.04
Jun-2002,1.286,1.424,25.52
Jul-2002,1.299,1.438,26.97
Aug-2002,1.328,1.438,28.39
Sep-2002,1.411,1.441,29.66
Oct-2002,1.462,1.486,28.84
Nov-2002,1.42,1.461,26.35
Dec-2002,1.429,1.429,29.46
Jan-2003,1.488,1.5,32.95
Feb-2003,1.654,1.655,35.83
Mar-2003,1.708,1.734,33.51
Apr-2003,1.533,1.633,28.17
May-2003,1.451,1.539,28.11
Jun-2003,1.424,1.533,30.66
Jul-2003,1.435,1.554,30.76
Aug-2003,1.487,1.661,31.57
Sep-2003,1.467,1.721,28.31
Oct-2003,1.481,1.606,30.34
Nov-2003,1.482,1.555,31.11
Dec-2003,1.49,1.522,32.13
Jan-2004,1.551,1.614,34.31
Feb-2004,1.582,1.69,34.69
Mar-2004,1.629,1.778,36.74
Apr-2004,1.692,1.839,36.75
May-2004,1.746,2.023,40.28
Jun-2004,1.711,2.013,38.03
Jul-2004,1.739,1.954,40.78
Aug-2004,1.833,1.92,44.9
Sep-2004,1.917,1.912,45.94
Oct-2004,2.134,2.042,53.28
Nov-2004,2.147,2.023,48.47
Dec-2004,2.009,1.887,43.15
Jan-2005,1.959,1.875,46.84
Feb-2005,2.027,1.953,48.15
Mar-2005,2.214,2.12,54.19
Apr-2005,2.292,2.285,52.98
May-2005,2.199,2.205,49.83
Jun-2005,2.29,2.198,56.35
Jul-2005,2.373,2.333,59
Aug-2005,2.5,2.529,64.99
Sep-2005,2.819,2.951,65.59
Oct-2005,3.095,2.765,62.26
Nov-2005,2.573,2.303,58.32
Dec-2005,2.443,2.229,59.41
Jan-2006,2.467,2.36,65.49
Feb-2006,2.475,2.326,61.63
Mar-2006,2.559,2.468,62.69
Apr-2006,2.728,2.787,69.44
May-2006,2.897,2.953,70.84
Jun-2006,2.898,2.93,70.95
Jul-2006,2.934,3.025,74.41
Aug-2006,3.045,2.999,73.04
Sep-2006,2.783,2.606,63.8
Oct-2006,2.519,2.293,58.89
Nov-2006,2.545,2.275,59.08
Dec-2006,2.61,2.359,61.96
Jan-2007,2.485,2.289,54.51
Feb-2007,2.488,2.323,59.28
Mar-2007,2.667,2.609,60.44
Apr-2007,2.834,2.891,63.98
May-2007,2.796,3.187,63.46
Jun-2007,2.808,3.102,67.49
Jul-2007,2.868,3.011,74.12
Aug-2007,2.869,2.834,72.36
Sep-2007,2.953,2.849,79.92
Oct-2007,3.075,2.853,85.8
Nov-2007,3.396,3.128,94.77
Dec-2007,3.341,3.07,91.69
Jan-2008,3.308,3.095,92.97
Feb-2008,3.377,3.078,95.39
Mar-2008,3.881,3.293,105.45
Apr-2008,4.084,3.507,112.58
May-2008,4.425,3.815,125.4
Jun-2008,4.677,4.105,133.88
Jul-2008,4.703,4.114,133.37
Aug-2008,4.302,3.833,116.67
Sep-2008,4.024,3.756,104.11
Oct-2008,3.576,3.112,76.61
Nov-2008,2.876,2.208,57.31
Dec-2008,2.449,1.745,41.12
Jan-2009,2.292,1.84,41.71
Feb-2009,2.195,1.975,39.09
Mar-2009,2.092,2.011,47.94
Apr-2009,2.22,2.102,49.65
May-2009,2.227,2.316,59.03
Jun-2009,2.529,2.681,69.64
Jul-2009,2.54,2.582,64.15
Aug-2009,2.634,2.67,71.05
Sep-2009,2.626,2.609,69.41
Oct-2009,2.672,2.605,75.72
Nov-2009,2.792,2.706,77.99
Dec-2009,2.745,2.663,74.47
Jan-2010,2.845,2.769,78.33
Feb-2010,2.785,2.699,76.39
Mar-2010,2.915,2.824,81.2
Apr-2010,3.059,2.9,84.29
May-2010,3.069,2.89,73.74
Jun-2010,2.948,2.785,75.34
Jul-2010,2.911,2.782,76.32
Aug-2010,2.959,2.783,76.6
Sep-2010,2.946,2.757,75.24
Oct-2010,3.052,2.853,81.89
Nov-2010,3.14,2.913,84.25
Dec-2010,3.243,3.048,89.15
Jan-2011,3.388,3.148,89.17
Feb-2011,3.584,3.264,88.58
Mar-2011,3.905,3.615,102.86
Apr-2011,4.064,3.852,109.53
May-2011,4.047,3.96,100.9
Jun-2011,3.933,3.735,96.26
Jul-2011,3.905,3.705,97.3
Aug-2011,3.86,3.696,86.33
Sep-2011,3.837,3.667,85.52
Oct-2011,3.798,3.506,86.32
Nov-2011,3.962,3.443,97.16
Dec-2011,3.861,3.326,98.56
Jan-2012,3.833,3.44,100.27
Feb-2012,3.953,3.64,102.2
Mar-2012,4.127,3.907,106.16
Apr-2012,4.115,3.958,103.32
May-2012,3.979,3.791,94.66
Jun-2012,3.759,3.596,82.3
Jul-2012,3.721,3.498,87.9
Aug-2012,3.983,3.78,94.13
Sep-2012,4.12,3.91,94.51
Oct-2012,4.094,3.812,89.49
Nov-2012,4,3.521,86.53
Dec-2012,3.961,3.381,87.86
Jan-2013,3.909,3.391,94.76
Feb-2013,4.111,3.736,95.31
Mar-2013,4.068,3.779,92.94
Apr-2013,3.93,3.638,92.02
May-2013,3.87,3.675,94.51
Jun-2013,3.849,3.689,95.77
Jul-2013,3.866,3.661,104.67
Aug-2013,3.905,3.645,106.57
Sep-2013,3.961,3.604,106.29
Oct-2013,3.885,3.42,100.54
Nov-2013,3.839,3.322,93.86
Dec-2013,3.882,3.357,97.63
Jan-2014,3.893,3.392,94.62
Feb-2014,3.984,3.434,100.82
Mar-2014,4.001,3.606,100.8
Apr-2014,3.964,3.735,102.07
May-2014,3.943,3.75,102.18
Jun-2014,3.906,3.766,105.79
Jul-2014,3.884,3.688,103.59
Aug-2014,3.838,3.565,96.54
Sep-2014,3.792,3.484,93.21
Oct-2014,3.681,3.255,84.4
Nov-2014,3.647,2.997,75.79
Dec-2014,3.411,2.632,59.29
Jan-2015,2.997,2.208,47.22
Feb-2015,2.858,2.301,50.58
Mar-2015,2.897,2.546,47.82
Apr-2015,2.782,2.555,54.45
May-2015,2.888,2.802,59.27
Jun-2015,2.873,2.885,59.82
Jul-2015,2.788,2.88,50.9
Aug-2015,2.595,2.726,42.87
Sep-2015,2.505,2.462,45.48
Oct-2015,2.519,2.387,46.22
Nov-2015,2.467,2.26,42.44
Dec-2015,2.31,2.144,37.19
Jan-2016,2.143,2.057,31.68
Feb-2016,1.998,1.872,30.32
Mar-2016,2.09,2.071,37.55
Apr-2016,2.152,2.216,40.75
May-2016,2.315,2.371,46.71
Jun-2016,2.423,2.467,48.76
Jul-2016,2.405,2.345,44.65
Aug-2016,2.351,2.284,44.72
Sep-2016,2.394,2.327,45.18
Oct-2016,2.454,2.359,49.78
Nov-2016,2.439,2.295,45.66
Dec-2016,2.51,2.366,51.97
Jan-2017,2.58,2.458,52.5
Feb-2017,2.568,2.416,53.47
Mar-2017,2.554,2.437,49.33
Apr-2017,2.583,2.528,51.06
May-2017,2.56,2.503,48.48
Jun-2017,2.511,2.46,45.18
Jul-2017,2.496,2.414,46.63
Aug-2017,2.595,2.494,48.04
Sep-2017,2.785,2.761,49.82
Oct-2017,2.794,2.621,51.58
Nov-2017,2.909,2.678,56.64
Dec-2017,2.909,2.594,57.88
Jan-2018,3.018,2.671,63.7
Feb-2018,3.046,2.705,62.23
Mar-2018,2.988,2.709,62.73
Apr-2018,3.096,2.873,66.25
May-2018,3.244,2.987,69.98
Jun-2018,3.253,2.97,67.87
Jul-2018,3.233,2.928,70.98
Aug-2018,3.218,2.914,68.06
Sep-2018,3.262,2.915,70.23
Oct-2018,3.365,2.943,70.75
Nov-2018,3.3,2.736,56.96
Dec-2018,3.123,2.457,49.52
Jan-2019,2.98,2.338,51.38
Feb-2019,2.997,2.393,54.95
Mar-2019,3.076,2.594,58.15
Apr-2019,3.121,2.881,63.86
May-2019,3.161,2.946,60.83
Jun-2019,3.089,2.804,54.66
Jul-2019,3.045,2.823,57.35
Aug-2019,3.005,2.707,54.81
Sep-2019,3.016,2.681,56.95
Oct-2019,3.053,2.724,53.96
Nov-2019,3.069,2.693,57.03
Dec-2019,3.055,2.645,59.88
Jan-2020,3.048,2.636,57.52
Feb-2020,2.91,2.533,50.54
Mar-2020,2.729,2.329,29.21
Apr-2020,2.493,1.938,16.55
May-2020,2.392,1.961,28.56
Jun-2020,2.408,2.17,38.31
Jul-2020,2.434,2.272,40.71
Aug-2020,2.429,2.272,42.34
Sep-2020,2.414,2.274,39.63
Oct-2020,2.389,2.248,39.4
Nov-2020,2.432,2.2,40.94
Dec-2020,2.585,2.284,47.02
